id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
hsa-mir-4775	3	0.95431	0.95451	0.999884	20384	0	1.5034	2.3303e-07	6.9164e-07	0.014851	1	2	1.5034
NUDT11	3	0.94535	0.94547	0.999884	20182	0	0.67281	9.6208e-06	3.1585e-05	0.255776	2	2	0.67281
TMEM14B	2	0.89963	0.8995	0.999884	19114	0	2.5258	1.5928e-05	3.5734e-05	0.255776	3	2	2.5258
hsa-mir-484	4	0.99393	0.99392	0.999884	21340	0	1.6957	5.3306e-05	0.00018605	0.719059	4	4	1.6957
KCNN2	3	0.74764	0.74761	0.999884	15686	0	0.11521	7.1673e-05	0.00021464	0.719059	5	2	0.11521
TACC1	3	0.99992	0.99992	0.999924	21473	0	0.82881	7.7648e-05	0.00023308	0.719059	6	3	0.82881
SYN1	3	0.99989	0.99989	0.999924	21472	0	0.67063	0.00010992	0.00033129	0.719059	7	3	0.67063
hsa-mir-548o-2	3	0.92251	0.92253	0.999884	19640	0	0.70971	0.00011945	0.00035711	0.719059	8	2	0.70971
ALS2CR8	3	0.99987	0.99987	0.999924	21471	0	0.68814	0.00012865	0.00038432	0.719059	9	3	0.68814
ZNF597	3	0.99987	0.99987	0.999924	21470	0	0.65351	0.00013334	0.00039769	0.719059	10	3	0.65351
hsa-mir-3148	4	0.99323	0.99322	0.999884	21315	0	1.0427	0.00013633	0.00052541	0.719059	11	4	1.0427
AKAP4	3	0.9973	0.9973	0.999884	21415	0	0.72687	0.00014368	0.00043319	0.719059	12	3	0.72687
TSPAN5	3	0.75299	0.75289	0.999884	15794	0	0.66561	0.00016723	0.00048899	0.719059	13	2	0.66561
hsa-mir-548h-2	3	0.99983	0.99983	0.999924	21469	0	0.64899	0.00016773	0.00049083	0.719059	14	3	0.64899
SSX7	3	0.99981	0.99981	0.999924	21468	0	0.56516	0.00018501	0.00054201	0.719059	15	3	0.56516
OR8B12	3	0.99835	0.99836	0.999924	21434	0	0.89616	0.00021459	0.00063054	0.719059	16	3	0.89616
BCAP29	3	0.93974	0.93984	0.999884	20026	0	0.99046	0.00021501	0.00063146	0.719059	17	2	0.99046
MBP	3	0.74738	0.74735	0.999884	15682	0	1.2077	0.000217	0.00063976	0.719059	18	2	1.2077
TNFRSF8	3	0.99978	0.99977	0.999924	21467	0	0.96827	0.0002248	0.00066466	0.719059	19	3	0.96827
SYT4	3	0.90049	0.90054	0.999884	19131	0	0.54481	0.00022598	0.00066973	0.719059	20	2	0.54481
hsa-mir-5685	4	0.99972	0.99973	0.999924	21466	0	0.39732	0.00027615	0.0010446	0.832045	21	4	0.39732
NAAA	3	0.98053	0.9806	0.999884	21023	0	0.61514	0.00032573	0.0009533	0.832045	22	3	0.61514
hsa-mir-626	4	0.6641	0.70206	0.999884	14012	1	0.78201	0.00035036	0.0013171	0.832045	23	3	0.78201
FAM188A	3	0.86402	0.86395	0.999884	18279	0	0.55165	0.00035194	0.0010409	0.832045	24	2	0.55165
hsa-mir-4302	4	0.99964	0.99966	0.999924	21465	0	0.31147	0.00035508	0.0013388	0.832045	25	4	0.31147
TMEM107	3	0.98651	0.98664	0.999884	21165	0	0.76805	0.00035606	0.0010501	0.832045	26	3	0.76805
TRIM16L	3	0.047142	0.11186	0.999884	2312	1	0.35909	0.00035833	0.0010561	0.832045	27	2	0.35909
hsa-mir-5688	4	0.99962	0.99963	0.999924	21464	0	0.60827	0.00038011	0.0014347	0.832045	28	4	0.60827
FAM72A	2	0.9996	0.99958	0.999924	21463	0	0.65775	0.00039925	0.00076333	0.780528	29	2	0.65775
DEFB126	3	0.87546	0.87555	0.999884	18549	0	0.25456	0.0004061	0.001188	0.832045	30	2	0.25456
hsa-mir-8057	4	0.73119	0.74627	0.999884	15359	1	0.33096	0.00041405	0.0015596	0.832045	31	2	0.33096
OR6C76	3	0.99958	0.99957	0.999924	21462	0	0.66108	0.0004226	0.0012438	0.832045	32	3	0.66108
GCSAML	3	0.99955	0.99954	0.999924	21461	0	0.64815	0.00045177	0.0013337	0.832045	33	3	0.64815
